Solution Number,Heuristic 1 Average Nodes,Heuristic 2 Average Nodes,Heuristic 3 Average Nodes,Number of puzzles generated
2,6.0,6.0,6.0,4
4,12.125,11.75,12.125,16
6,23.53846153846154,19.384615384615383,23.53846153846154,39
8,46.95,30.97,46.27,100
10,108.56,50.57,105.47,100
12,257.69,84.79,242.6,100
14,645.7,177.55,590.86,100
16,1549.47,299.14,1390.2,100
18,3964.09,717.89,3513.98,100
20,9200.32,1164.47,8014.7,100
22,22191.3,2544.16,19325.15,100
24,49891.42,4811.04,43472.54,100
